HP:0000001	{'id': 'HP:0000001', 'label': 'All'}
HP:0000005	{'id': 'HP:0000005', 'label': 'Mode of inheritance'}
HP:0000118	{'id': 'HP:0000118', 'label': 'Phenotypic abnormality'}
HP:0012823	{'id': 'HP:0012823', 'label': 'Clinical modifier'}
HP:0032223	{'id': 'HP:0032223', 'label': 'Blood group'}
HP:0032443	{'id': 'HP:0032443', 'label': 'Past medical history'}
HP:0040279	{'id': 'HP:0040279', 'label': 'Frequency'}
HP:0000002	{'id': 'HP:0000002', 'label': 'Abnormality of body height'}
HP:0000098	{'id': 'HP:0000098', 'label': 'Tall stature'}
HP:0004322	{'id': 'HP:0004322', 'label': 'Short stature'}
HP:0012772	{'id': 'HP:0012772', 'label': 'Abnormal upper to lower segment ratio'}
HP:0000003	{'id': 'HP:0000003', 'label': 'Multicystic kidney dysplasia'}
HP:0000006	{'id': 'HP:0000006', 'label': 'Autosomal dominant inheritance'}
HP:0000007	{'id': 'HP:0000007', 'label': 'Autosomal recessive inheritance'}
HP:0001425	{'id': 'HP:0001425', 'label': 'Heterogeneous'}
HP:0001426	{'id': 'HP:0001426', 'label': 'Multifactorial inheritance'}
HP:0001427	{'id': 'HP:0001427', 'label': 'Mitochondrial inheritance'}
HP:0001428	{'id': 'HP:0001428', 'label': 'Somatic mutation'}
HP:0001466	{'id': 'HP:0001466', 'label': 'Contiguous gene syndrome'}
HP:0003743	{'id': 'HP:0003743', 'label': 'Genetic anticipation'}
HP:0003745	{'id': 'HP:0003745', 'label': 'Sporadic'}
HP:0010985	{'id': 'HP:0010985', 'label': 'Gonosomal inheritance'}
HP:0032113	{'id': 'HP:0032113', 'label': 'Semidominant mode of inheritance'}
HP:0032382	{'id': 'HP:0032382', 'label': 'Uniparental disomy'}
HP:0001444	{'id': 'HP:0001444', 'label': 'Autosomal dominant somatic cell mutation'}
HP:0001452	{'id': 'HP:0001452', 'label': 'Autosomal dominant contiguous gene syndrome'}
HP:0001470	{'id': 'HP:0001470', 'label': 'Sex-limited autosomal dominant'}
HP:0012274	{'id': 'HP:0012274', 'label': 'Autosomal dominant inheritance with paternal imprinting'}
HP:0012275	{'id': 'HP:0012275', 'label': 'Autosomal dominant inheritance with maternal imprinting'}
HP:0025352	{'id': 'HP:0025352', 'label': 'Autosomal dominant germline de novo mutation'}
HP:0031362	{'id': 'HP:0031362', 'label': 'Sex-limited autosomal recessive inheritance'}
HP:0000008	{'id': 'HP:0000008', 'label': 'Abnormal morphology of female internal genitalia'}
HP:0000130	{'id': 'HP:0000130', 'label': 'Abnormality of the uterus'}
HP:0000137	{'id': 'HP:0000137', 'label': 'Abnormality of the ovary'}
HP:0000142	{'id': 'HP:0000142', 'label': 'Abnormal vagina morphology'}
HP:0011027	{'id': 'HP:0011027', 'label': 'Abnormal fallopian tube morphology'}
HP:0000009	{'id': 'HP:0000009', 'label': 'Functional abnormality of the bladder'}
HP:0000011	{'id': 'HP:0000011', 'label': 'Neurogenic bladder'}
HP:0000012	{'id': 'HP:0000012', 'label': 'Urinary urgency'}
HP:0000016	{'id': 'HP:0000016', 'label': 'Urinary retention'}
HP:0000017	{'id': 'HP:0000017', 'label': 'Nocturia'}
HP:0000019	{'id': 'HP:0000019', 'label': 'Urinary hesitancy'}
HP:0000020	{'id': 'HP:0000020', 'label': 'Urinary incontinence'}
HP:0000076	{'id': 'HP:0000076', 'label': 'Vesicoureteral reflux'}
HP:0000805	{'id': 'HP:0000805', 'label': 'Enuresis'}
HP:0002839	{'id': 'HP:0002839', 'label': 'Urinary bladder sphincter dysfunction'}
HP:0005340	{'id': 'HP:0005340', 'label': 'Spastic/hyperactive bladder'}
HP:0025488	{'id': 'HP:0025488', 'label': 'Detrusor sphincter dyssynergia'}
HP:0041047	{'id': 'HP:0041047', 'label': 'Bladder outlet obstruction'}
HP:0100515	{'id': 'HP:0100515', 'label': 'Pollakisuria'}
HP:0100518	{'id': 'HP:0100518', 'label': 'Dysuria'}
HP:0000010	{'id': 'HP:0000010', 'label': 'Recurrent urinary tract infections'}
HP:0012786	{'id': 'HP:0012786', 'label': 'Recurrent cystitis'}
HP:0012787	{'id': 'HP:0012787', 'label': 'Recurrent pyelonephritis'}
HP:0000013	{'id': 'HP:0000013', 'label': 'Hypoplasia of the uterus'}
HP:0000014	{'id': 'HP:0000014', 'label': 'Abnormality of the bladder'}
HP:0025487	{'id': 'HP:0025487', 'label': 'Abnormality of bladder morphology'}
HP:0000015	{'id': 'HP:0000015', 'label': 'Bladder diverticulum'}
HP:0008691	{'id': 'HP:0008691', 'label': 'Solitary bladder diverticulum'}
HP:0012619	{'id': 'HP:0012619', 'label': 'Multiple bladder diverticula'}
HP:0010992	{'id': 'HP:0010992', 'label': 'Stress urinary incontinence'}
HP:0000021	{'id': 'HP:0000021', 'label': 'Megacystis'}
HP:0000022	{'id': 'HP:0000022', 'label': 'Abnormality of male internal genitalia'}
HP:0008775	{'id': 'HP:0008775', 'label': 'Abnormal prostate morphology'}
HP:0009714	{'id': 'HP:0009714', 'label': 'Abnormality of the epididymis'}
HP:0012872	{'id': 'HP:0012872', 'label': 'Abnormal vas deferens morphology'}
HP:0000023	{'id': 'HP:0000023', 'label': 'Inguinal hernia'}
HP:0000024	{'id': 'HP:0000024', 'label': 'Prostatitis'}
HP:0000025	{'id': 'HP:0000025', 'label': 'Functional abnormality of male internal genitalia'}
HP:0000026	{'id': 'HP:0000026', 'label': 'Male hypogonadism'}
HP:0008669	{'id': 'HP:0008669', 'label': 'Abnormal spermatogenesis'}
HP:0012206	{'id': 'HP:0012206', 'label': 'Abnormal sperm motility'}
HP:0000027	{'id': 'HP:0000027', 'label': 'Azoospermia'}
HP:0011961	{'id': 'HP:0011961', 'label': 'Non-obstructive azoospermia'}
HP:0011962	{'id': 'HP:0011962', 'label': 'Obstructive azoospermia'}
HP:0011963	{'id': 'HP:0011963', 'label': 'Pretesticular azoospermia'}
HP:0000028	{'id': 'HP:0000028', 'label': 'Cryptorchidism'}
HP:0008689	{'id': 'HP:0008689', 'label': 'Bilateral cryptorchidism'}
HP:0012741	{'id': 'HP:0012741', 'label': 'Unilateral cryptorchidism'}
HP:0000029	{'id': 'HP:0000029', 'label': 'Testicular atrophy'}
HP:0000030	{'id': 'HP:0000030', 'label': 'Testicular gonadoblastoma'}
HP:0000031	{'id': 'HP:0000031', 'label': 'Epididymitis'}
HP:0000032	{'id': 'HP:0000032', 'label': 'Abnormality of male external genitalia'}
HP:0000033	{'id': 'HP:0000033', 'label': 'Ambiguous genitalia, male'}
HP:0000035	{'id': 'HP:0000035', 'label': 'Abnormal testis morphology'}
HP:0000036	{'id': 'HP:0000036', 'label': 'Abnormal penis morphology'}
HP:0000037	{'id': 'HP:0000037', 'label': 'Male pseudohermaphroditism'}
HP:0000045	{'id': 'HP:0000045', 'label': 'Abnormality of the scrotum'}
HP:0000050	{'id': 'HP:0000050', 'label': 'Hypoplastic male external genitalia'}
HP:0000795	{'id': 'HP:0000795', 'label': 'Abnormality of the urethra'}
HP:0008730	{'id': 'HP:0008730', 'label': 'Female external genitalia in individual with 46,XY karyotype'}
HP:0100848	{'id': 'HP:0100848', 'label': 'Neoplasm of the male external genitalia'}
HP:0000034	{'id': 'HP:0000034', 'label': 'Hydrocele testis'}
HP:0008715	{'id': 'HP:0008715', 'label': 'Testicular dysgenesis'}
HP:0008720	{'id': 'HP:0008720', 'label': 'Primary testicular failure'}
HP:0008733	{'id': 'HP:0008733', 'label': 'Dysplastic testes'}
HP:0010470	{'id': 'HP:0010470', 'label': 'Supernumerary testes'}
HP:0010788	{'id': 'HP:0010788', 'label': 'Testicular neoplasm'}
HP:0010789	{'id': 'HP:0010789', 'label': 'Abnormality of the Leydig cells'}
HP:0012215	{'id': 'HP:0012215', 'label': 'Testicular microlithiasis'}
HP:0012646	{'id': 'HP:0012646', 'label': 'Retractile testis'}
HP:0012860	{'id': 'HP:0012860', 'label': 'Testicular fibrosis'}
HP:0012870	{'id': 'HP:0012870', 'label': 'Vanishing testis'}
HP:0025038	{'id': 'HP:0025038', 'label': 'Intratesticular abscess'}
HP:0025476	{'id': 'HP:0025476', 'label': 'Testicular lipomatosis'}
HP:0030868	{'id': 'HP:0030868', 'label': 'Monorchism'}
HP:0030869	{'id': 'HP:0030869', 'label': 'Anorchism'}
HP:0032404	{'id': 'HP:0032404', 'label': 'Testicular mass'}
HP:0033180	{'id': 'HP:0033180', 'label': 'Torsion of appendix of testis'}
HP:0045058	{'id': 'HP:0045058', 'label': 'Abnormality of the testis size'}
HP:0100796	{'id': 'HP:0100796', 'label': 'Orchitis'}
HP:0100813	{'id': 'HP:0100813', 'label': 'Testicular torsion'}
HP:0000040	{'id': 'HP:0000040', 'label': 'Long penis'}
HP:0000041	{'id': 'HP:0000041', 'label': 'Chordee'}
HP:0008708	{'id': 'HP:0008708', 'label': 'Partial development of the penile shaft'}
HP:0008736	{'id': 'HP:0008736', 'label': 'Hypoplasia of penis'}
HP:0030261	{'id': 'HP:0030261', 'label': 'Absent penis'}
HP:0030262	{'id': 'HP:0030262', 'label': 'Narrow penis'}
HP:0030263	{'id': 'HP:0030263', 'label': 'Torsion of the penis'}
HP:0030264	{'id': 'HP:0030264', 'label': 'Webbed penis'}
HP:0031447	{'id': 'HP:0031447', 'label': 'Penile freckling'}
HP:0032076	{'id': 'HP:0032076', 'label': 'Abnormal male urethral meatus morphology'}
HP:0100587	{'id': 'HP:0100587', 'label': 'Abnormality of the preputium'}
HP:0100599	{'id': 'HP:0100599', 'label': 'Bifid penis'}
HP:0100600	{'id': 'HP:0100600', 'label': 'Penoscrotal transposition'}
HP:0100623	{'id': 'HP:0100623', 'label': 'Abnormality of corpus cavernosum'}
HP:0100850	{'id': 'HP:0100850', 'label': 'Neoplasm of the penis'}
HP:0008656	{'id': 'HP:0008656', 'label': 'Incomplete male pseudohermaphroditism'}
HP:0000039	{'id': 'HP:0000039', 'label': 'Epispadias'}
HP:0000042	{'id': 'HP:0000042', 'label': 'Absent external genitalia'}
HP:0000044	{'id': 'HP:0000044', 'label': 'Hypogonadotropic hypogonadism'}
HP:0000046	{'id': 'HP:0000046', 'label': 'Scrotal hypoplasia'}
HP:0000048	{'id': 'HP:0000048', 'label': 'Bifid scrotum'}
HP:0000049	{'id': 'HP:0000049', 'label': 'Shawl scrotum'}
HP:0003246	{'id': 'HP:0003246', 'label': 'Prominent scrotal raphe'}
HP:0008707	{'id': 'HP:0008707', 'label': 'Absent scrotum'}
HP:0012855	{'id': 'HP:0012855', 'label': 'Scrotal hyperpigmentation'}
HP:0012856	{'id': 'HP:0012856', 'label': 'Abnormal scrotal rugation'}
HP:0012871	{'id': 'HP:0012871', 'label': 'Varicocele'}
HP:0030155	{'id': 'HP:0030155', 'label': 'Scrotal pain'}
HP:0030274	{'id': 'HP:0030274', 'label': 'Accessory scrotum'}
HP:0030275	{'id': 'HP:0030275', 'label': 'Ectopic scrotum'}
HP:0030276	{'id': 'HP:0030276', 'label': 'Small scrotum'}
HP:0100673	{'id': 'HP:0100673', 'label': 'Vaginal hydrocele'}
HP:0100674	{'id': 'HP:0100674', 'label': 'Vaginal hematocele'}
HP:0100675	{'id': 'HP:0100675', 'label': 'Vaginal pyocele'}
HP:0100676	{'id': 'HP:0100676', 'label': 'Vaginal lymphocele'}
HP:0100849	{'id': 'HP:0100849', 'label': 'Neoplasm of the scrotum'}
HP:0000047	{'id': 'HP:0000047', 'label': 'Hypospadias'}
HP:0000051	{'id': 'HP:0000051', 'label': 'Perineal hypospadias'}
HP:0000807	{'id': 'HP:0000807', 'label': 'Glandular hypospadias'}
HP:0000808	{'id': 'HP:0000808', 'label': 'Penoscrotal hypospadias'}
HP:0003244	{'id': 'HP:0003244', 'label': 'Penile hypospadias'}
HP:0008743	{'id': 'HP:0008743', 'label': 'Coronal hypospadias'}
HP:0012853	{'id': 'HP:0012853', 'label': 'Scrotal hypospadias'}
HP:0012854	{'id': 'HP:0012854', 'label': 'Midshaft hypospadias'}
HP:0008734	{'id': 'HP:0008734', 'label': 'Decreased testicular size'}
HP:0000052	{'id': 'HP:0000052', 'label': 'Urethral atresia, male'}
HP:0000053	{'id': 'HP:0000053', 'label': 'Macroorchidism'}
HP:0002050	{'id': 'HP:0002050', 'label': 'Macroorchidism, postpubertal'}
HP:0008640	{'id': 'HP:0008640', 'label': 'Congenital macroorchidism'}
HP:0000054	{'id': 'HP:0000054', 'label': 'Micropenis'}
HP:0000055	{'id': 'HP:0000055', 'label': 'Abnormality of female external genitalia'}
HP:0000056	{'id': 'HP:0000056', 'label': 'Abnormality of the clitoris'}
HP:0000058	{'id': 'HP:0000058', 'label': 'Abnormal labia morphology'}
HP:0000061	{'id': 'HP:0000061', 'label': 'Ambiguous genitalia, female'}
HP:0000067	{'id': 'HP:0000067', 'label': 'Urethral atresia, female'}
HP:0010458	{'id': 'HP:0010458', 'label': 'Female pseudohermaphroditism'}
HP:0012815	{'id': 'HP:0012815', 'label': 'Hypoplastic female external genitalia'}
HP:0100677	{'id': 'HP:0100677', 'label': 'Vulval varicose vein'}
HP:0030911	{'id': 'HP:0030911', 'label': 'Bifid clitoris'}
HP:0030912	{'id': 'HP:0030912', 'label': 'Duplicated clitoris'}
HP:0040252	{'id': 'HP:0040252', 'label': 'Abnormal size of the clitoris'}
HP:0040255	{'id': 'HP:0040255', 'label': 'Aplasia/Hypoplasia of the clitoris'}
HP:0000065	{'id': 'HP:0000065', 'label': 'Labial hypertrophy'}
HP:0000066	{'id': 'HP:0000066', 'label': 'Labial hypoplasia'}
HP:0012880	{'id': 'HP:0012880', 'label': 'Abnormal labia minora morphology'}
HP:0012881	{'id': 'HP:0012881', 'label': 'Abnormal labia majora morphology'}
HP:0000059	{'id': 'HP:0000059', 'label': 'Hypoplastic labia majora'}
HP:0000060	{'id': 'HP:0000060', 'label': 'Clitoral hypoplasia'}
HP:0000062	{'id': 'HP:0000062', 'label': 'Ambiguous genitalia'}
HP:0003248	{'id': 'HP:0003248', 'label': 'Gonadal tissue inappropriate for external genitalia or chromosomal sex'}
HP:0010459	{'id': 'HP:0010459', 'label': 'True hermaphroditism'}
HP:0012861	{'id': 'HP:0012861', 'label': 'Ovotestis'}
HP:0000063	{'id': 'HP:0000063', 'label': 'Fused labia minora'}
HP:0000064	{'id': 'HP:0000064', 'label': 'Hypoplastic labia minora'}
HP:0008683	{'id': 'HP:0008683', 'label': 'Enlarged labia minora'}
HP:0008739	{'id': 'HP:0008739', 'label': 'Labial pseudohypertrophy'}
HP:0000068	{'id': 'HP:0000068', 'label': 'Urethral atresia'}
HP:0000069	{'id': 'HP:0000069', 'label': 'Abnormality of the ureter'}
HP:0025633	{'id': 'HP:0025633', 'label': 'Abnormal ureter morphology'}
HP:0025634	{'id': 'HP:0025634', 'label': 'Abnormal ureter physiology'}
HP:0100516	{'id': 'HP:0100516', 'label': 'Neoplasm of the ureter'}
HP:0000070	{'id': 'HP:0000070', 'label': 'Ureterocele'}
HP:0000071	{'id': 'HP:0000071', 'label': 'Ureteral stenosis'}
HP:0000074	{'id': 'HP:0000074', 'label': 'Ureteropelvic junction obstruction'}
HP:0008714	{'id': 'HP:0008714', 'label': 'Ureterovesical stenosis'}
HP:0000072	{'id': 'HP:0000072', 'label': 'Hydroureter'}
HP:0000073	{'id': 'HP:0000073', 'label': 'Ureteral duplication'}
HP:0008705	{'id': 'HP:0008705', 'label': 'Ureteral triplication'}
HP:0012571	{'id': 'HP:0012571', 'label': 'Ureter fissus'}
HP:0012572	{'id': 'HP:0012572', 'label': 'Ureter duplex'}
HP:0030037	{'id': 'HP:0030037', 'label': 'Bifid ureter'}
HP:0000075	{'id': 'HP:0000075', 'label': 'Renal duplication'}
HP:0005580	{'id': 'HP:0005580', 'label': 'Duplication of renal pelvis'}
HP:0008738	{'id': 'HP:0008738', 'label': 'Partially duplicated kidney'}
HP:0000077	{'id': 'HP:0000077', 'label': 'Abnormality of the kidney'}
HP:0009726	{'id': 'HP:0009726', 'label': 'Renal neoplasm'}
HP:0012210	{'id': 'HP:0012210', 'label': 'Abnormal renal morphology'}
HP:0012211	{'id': 'HP:0012211', 'label': 'Abnormal renal physiology'}
HP:0000078	{'id': 'HP:0000078', 'label': 'Abnormality of the genital system'}
HP:0000080	{'id': 'HP:0000080', 'label': 'Abnormality of reproductive system physiology'}
HP:0010787	{'id': 'HP:0010787', 'label': 'Genital neoplasm'}
HP:0012243	{'id': 'HP:0012243', 'label': 'Abnormal reproductive system morphology'}
HP:0000079	{'id': 'HP:0000079', 'label': 'Abnormality of the urinary system'}
HP:0000809	{'id': 'HP:0000809', 'label': 'Urinary tract atresia'}
HP:0010935	{'id': 'HP:0010935', 'label': 'Abnormality of the upper urinary tract'}
HP:0010936	{'id': 'HP:0010936', 'label': 'Abnormality of the lower urinary tract'}
HP:0011277	{'id': 'HP:0011277', 'label': 'Abnormality of the urinary system physiology'}
HP:0000135	{'id': 'HP:0000135', 'label': 'Hypogonadism'}
HP:0000144	{'id': 'HP:0000144', 'label': 'Decreased fertility'}
HP:0012874	{'id': 'HP:0012874', 'label': 'Abnormal male reproductive system physiology'}
HP:0030012	{'id': 'HP:0030012', 'label': 'Abnormal female reproductive system physiology'}
HP:0031845	{'id': 'HP:0031845', 'label': 'Abnormal libido'}
HP:0033337	{'id': 'HP:0033337', 'label': 'Abnormal gametogenesis'}
HP:0046502	{'id': 'HP:0046502', 'label': 'Anorgasmia'}
HP:0000081	{'id': 'HP:0000081', 'label': 'Duplicated collecting system'}
HP:0000083	{'id': 'HP:0000083', 'label': 'Renal insufficiency'}
HP:0001919	{'id': 'HP:0001919', 'label': 'Acute kidney injury'}
HP:0004713	{'id': 'HP:0004713', 'label': 'Reversible renal failure'}
HP:0012622	{'id': 'HP:0012622', 'label': 'Chronic kidney disease'}
HP:0000085	{'id': 'HP:0000085', 'label': 'Horseshoe kidney'}
HP:0000086	{'id': 'HP:0000086', 'label': 'Ectopic kidney'}
HP:0000125	{'id': 'HP:0000125', 'label': 'Pelvic kidney'}
HP:0004736	{'id': 'HP:0004736', 'label': 'Crossed fused renal ectopia'}
HP:0000089	{'id': 'HP:0000089', 'label': 'Renal hypoplasia'}
HP:0012583	{'id': 'HP:0012583', 'label': 'Unilateral renal hypoplasia'}
HP:0012584	{'id': 'HP:0012584', 'label': 'Bilateral renal hypoplasia'}
HP:0000090	{'id': 'HP:0000090', 'label': 'Nephronophthisis'}
HP:0000091	{'id': 'HP:0000091', 'label': 'Abnormal renal tubule morphology'}
HP:0001969	{'id': 'HP:0001969', 'label': 'Abnormal tubulointerstitial morphology'}
HP:0008660	{'id': 'HP:0008660', 'label': 'Renotubular dysgenesis'}
HP:0008682	{'id': 'HP:0008682', 'label': 'Renal tubular epithelial necrosis'}
HP:0020131	{'id': 'HP:0020131', 'label': 'Abnormal tubular basement membrane morphology'}
HP:0032589	{'id': 'HP:0032589', 'label': 'Renal lymphocytic tubulitis'}
HP:0032590	{'id': 'HP:0032590', 'label': 'Renal neutrophilic tubulitis'}
HP:0032599	{'id': 'HP:0032599', 'label': 'Abnormal renal tubular epithelial morphology'}
HP:0032623	{'id': 'HP:0032623', 'label': 'Renal intratubular casts'}
HP:0032628	{'id': 'HP:0032628', 'label': 'Renal intratubular crystals'}
HP:0032950	{'id': 'HP:0032950', 'label': 'Abnormal renal tubular lumen morphology'}
HP:0032951	{'id': 'HP:0032951', 'label': 'Renal tubular viral cytopathic changes'}
HP:0041050	{'id': 'HP:0041050', 'label': 'Renal tubular cyst'}
HP:0000092	{'id': 'HP:0000092', 'label': 'Renal tubular atrophy'}
HP:0032608	{'id': 'HP:0032608', 'label': 'Thyroidization-type tubular atrophy'}
HP:0032609	{'id': 'HP:0032609', 'label': 'Endocrine-type tubular atrophy'}
HP:0032952	{'id': 'HP:0032952', 'label': 'Usual-type tubular atrophy'}
HP:0000093	{'id': 'HP:0000093', 'label': 'Proteinuria'}
HP:0003126	{'id': 'HP:0003126', 'label': 'Low-molecular-weight proteinuria'}
HP:0012593	{'id': 'HP:0012593', 'label': 'Nephrotic range proteinuria'}
HP:0012595	{'id': 'HP:0012595', 'label': 'Mild proteinuria'}
HP:0012596	{'id': 'HP:0012596', 'label': 'Moderate proteinuria'}
HP:0012597	{'id': 'HP:0012597', 'label': 'Heavy proteinuria'}
HP:0000095	{'id': 'HP:0000095', 'label': 'Abnormal renal glomerulus morphology'}
HP:0000096	{'id': 'HP:0000096', 'label': 'Glomerular sclerosis'}
HP:0000099	{'id': 'HP:0000099', 'label': 'Glomerulonephritis'}
HP:0000111	{'id': 'HP:0000111', 'label': 'Renal juxtaglomerular cell hypertrophy/hyperplasia'}
HP:0001966	{'id': 'HP:0001966', 'label': 'Abnormal glomerular mesangium morphology'}
HP:0008636	{'id': 'HP:0008636', 'label': 'Lobular glomerulopathy'}
HP:0025006	{'id': 'HP:0025006', 'label': 'Abnormal glomerular capillary morphology'}
HP:0025364	{'id': 'HP:0025364', 'label': 'Glomerular extracapillary hypercellularity'}
HP:0030162	{'id': 'HP:0030162', 'label': 'Glomerulomegaly'}
HP:0030949	{'id': 'HP:0030949', 'label': 'Glomerular deposits'}
HP:0032583	{'id': 'HP:0032583', 'label': 'Renal glomerular foam cells'}
HP:0033215	{'id': 'HP:0033215', 'label': 'Obliterative abnormality of the renal glomerulus'}
